scenario_id,nl_prompt,original_prompt,req_devices,req_triggers,req_actions,req_conditions,pre_completed,pre_exception,pre_bundle_name,pre_bundle_root,pre_ir_path,pre_puml_path,pre_validation_path,pre_layer5_path,pre_det_ok,pre_layer5_ok,pre_overall_valid,pre_structural_valid,pre_downstream_ready,pre_det_error_count,pre_det_warning_count,pre_det_schema_error_count,pre_layer5_issue_count,pre_layer5_error_count,pre_layer5_warning_count,pre_layer5_codes,pre_total_issue_count,pre_total_error_count,pre_state_count,pre_transition_count,pre_devices_required,pre_devices_present,pre_devices_coverage,pre_missing_devices,pre_triggers_required,pre_triggers_present,pre_triggers_coverage,pre_missing_triggers,pre_actions_required,pre_actions_present,pre_actions_coverage,pre_missing_actions,pre_overall_coverage,post_completed,post_exception,post_bundle_name,post_bundle_root,post_revision_dir,post_ir_path,post_puml_path,post_validation_path,post_layer5_path,post_summary_json_path,post_det_ok,post_layer5_ok,post_overall_valid,post_structural_valid,post_downstream_ready,post_det_error_count,post_det_warning_count,post_det_schema_error_count,post_layer5_issue_count,post_layer5_error_count,post_layer5_warning_count,post_layer5_codes,post_total_issue_count,post_total_error_count,post_state_count,post_transition_count,post_devices_required,post_devices_present,post_devices_coverage,post_missing_devices,post_triggers_required,post_triggers_present,post_triggers_coverage,post_missing_triggers,post_actions_required,post_actions_present,post_actions_coverage,post_missing_actions,post_overall_coverage,post_iterations_run,post_stop_reason,repair_effective,issues_removed,errors_removed,coverage_delta
S01,"If the Front Door Contact Sensor opens, then turn on the Hallway Light.","If the front door opens, then turn on the hallway light.",door_front|light_hall,"becomes(door_front.contact,open)","command(light_hall,on)",,True,,S01__primary,metrics_full_out_3\runs\primary\S01__primary,metrics_full_out_3\runs\primary\S01__primary\baseline\final.ir.json,metrics_full_out_3\runs\primary\S01__primary\baseline\final.puml,metrics_full_out_3\runs\primary\S01__primary\baseline\validation_report.json,metrics_full_out_3\runs\primary\S01__primary\baseline\l5.validation_agent.json,True,True,True,True,True,0,0,0,0,0,0,,0,0,1,1,2,2,1.0,,1,1,1.0,,1,1,1.0,,1.0,True,,S01__primary,metrics_full_out_3\runs\primary\S01__primary,metrics_full_out_3\runs\primary\S01__primary\edits\edit_001,metrics_full_out_3\runs\primary\S01__primary\edits\edit_001\final.ir.json,metrics_full_out_3\runs\primary\S01__primary\edits\edit_001\final.puml,metrics_full_out_3\runs\primary\S01__primary\edits\edit_001\validation_report.json,metrics_full_out_3\runs\primary\S01__primary\edits\edit_001\l5.validation_agent.json,metrics_full_out_3\runs\primary\S01__primary\edits\edit_001\summary.json,True,True,True,True,True,0,0,0,0,0,0,,0,0,1,1,2,2,1.0,,1,1,1.0,,1,1,1.0,,1.0,1,Converged (deterministic + agentic OK).,False,0,0,0.0
S02,"If the Front Door Contact Sensor opens, then send a notification to the homeowner.","If the front door opens, then send a notification to the homeowner.",door_front,"becomes(door_front.contact,open)",notify(),,True,,S02__primary,metrics_full_out_3\runs\primary\S02__primary,metrics_full_out_3\runs\primary\S02__primary\baseline\final.ir.json,metrics_full_out_3\runs\primary\S02__primary\baseline\final.puml,metrics_full_out_3\runs\primary\S02__primary\baseline\validation_report.json,metrics_full_out_3\runs\primary\S02__primary\baseline\l5.validation_agent.json,True,True,True,True,True,0,0,0,0,0,0,,0,0,1,1,1,1,1.0,,1,1,1.0,,1,1,1.0,,1.0,True,,S02__primary,metrics_full_out_3\runs\primary\S02__primary,metrics_full_out_3\runs\primary\S02__primary\edits\edit_001,metrics_full_out_3\runs\primary\S02__primary\edits\edit_001\final.ir.json,metrics_full_out_3\runs\primary\S02__primary\edits\edit_001\final.puml,metrics_full_out_3\runs\primary\S02__primary\edits\edit_001\validation_report.json,metrics_full_out_3\runs\primary\S02__primary\edits\edit_001\l5.validation_agent.json,metrics_full_out_3\runs\primary\S02__primary\edits\edit_001\summary.json,True,True,True,True,True,0,0,0,0,0,0,,0,0,1,1,1,1,1.0,,1,1,1.0,,1,1,1.0,,1.0,1,Converged (deterministic + agentic OK).,False,0,0,0.0
S03,"If the Front Door Lock becomes unlocked, then send a notification to my phone.","If the front door is unlocked, then send a notification to the homeowner.",lock_front,"becomes(lock_front.lock,unlocked)",notify(),,True,,S03__primary,metrics_full_out_3\runs\primary\S03__primary,metrics_full_out_3\runs\primary\S03__primary\baseline\final.ir.json,metrics_full_out_3\runs\primary\S03__primary\baseline\final.puml,metrics_full_out_3\runs\primary\S03__primary\baseline\validation_report.json,metrics_full_out_3\runs\primary\S03__primary\baseline\l5.validation_agent.json,True,True,True,True,True,0,0,0,0,0,0,,0,0,1,1,1,1,1.0,,1,1,1.0,,1,1,1.0,,1.0,True,,S03__primary,metrics_full_out_3\runs\primary\S03__primary,metrics_full_out_3\runs\primary\S03__primary\edits\edit_001,metrics_full_out_3\runs\primary\S03__primary\edits\edit_001\final.ir.json,metrics_full_out_3\runs\primary\S03__primary\edits\edit_001\final.puml,metrics_full_out_3\runs\primary\S03__primary\edits\edit_001\validation_report.json,metrics_full_out_3\runs\primary\S03__primary\edits\edit_001\l5.validation_agent.json,metrics_full_out_3\runs\primary\S03__primary\edits\edit_001\summary.json,True,True,True,True,True,0,0,0,0,0,0,,0,0,1,1,1,1,1.0,,1,1,1.0,,1,1,1.0,,1.0,1,Converged (deterministic + agentic OK).,False,0,0,0.0
S04,"If the Front Door Lock becomes unlocked, then turn on the Hallway Light.","If the front door is unlocked, then turn on the porch light.",lock_front|light_hall,"becomes(lock_front.lock,unlocked)","command(light_hall,on)",,True,,S04__primary,metrics_full_out_3\runs\primary\S04__primary,metrics_full_out_3\runs\primary\S04__primary\baseline\final.ir.json,metrics_full_out_3\runs\primary\S04__primary\baseline\final.puml,metrics_full_out_3\runs\primary\S04__primary\baseline\validation_report.json,metrics_full_out_3\runs\primary\S04__primary\baseline\l5.validation_agent.json,True,True,True,True,True,0,0,0,0,0,0,,0,0,1,1,2,2,1.0,,1,1,1.0,,1,1,1.0,,1.0,True,,S04__primary,metrics_full_out_3\runs\primary\S04__primary,metrics_full_out_3\runs\primary\S04__primary\edits\edit_001,metrics_full_out_3\runs\primary\S04__primary\edits\edit_001\final.ir.json,metrics_full_out_3\runs\primary\S04__primary\edits\edit_001\final.puml,metrics_full_out_3\runs\primary\S04__primary\edits\edit_001\validation_report.json,metrics_full_out_3\runs\primary\S04__primary\edits\edit_001\l5.validation_agent.json,metrics_full_out_3\runs\primary\S04__primary\edits\edit_001\summary.json,True,True,True,True,True,0,0,0,0,0,0,,0,0,1,1,2,2,1.0,,1,1,1.0,,1,1,1.0,,1.0,1,Converged (deterministic + agentic OK).,False,0,0,0.0
S05,"If the Front Door Contact Sensor closes and the time is after 10:00 PM, then lock the Front Door Lock.","If the front door is closed and it is after 10 pm, then lock the front door.",door_front|lock_front,"becomes(door_front.contact,closed)","command(lock_front,lock)",time_after(22:00),True,,S05__primary,metrics_full_out_3\runs\primary\S05__primary,metrics_full_out_3\runs\primary\S05__primary\baseline\final.ir.json,metrics_full_out_3\runs\primary\S05__primary\baseline\final.puml,metrics_full_out_3\runs\primary\S05__primary\baseline\validation_report.json,metrics_full_out_3\runs\primary\S05__primary\baseline\l5.validation_agent.json,False,True,False,False,False,2,0,2,0,0,0,,2,2,1,1,2,2,1.0,,1,1,1.0,,1,1,1.0,,1.0,True,,S05__primary,metrics_full_out_3\runs\primary\S05__primary,metrics_full_out_3\runs\primary\S05__primary\edits\edit_001,metrics_full_out_3\runs\primary\S05__primary\edits\edit_001\final.ir.json,metrics_full_out_3\runs\primary\S05__primary\edits\edit_001\final.puml,metrics_full_out_3\runs\primary\S05__primary\edits\edit_001\validation_report.json,metrics_full_out_3\runs\primary\S05__primary\edits\edit_001\l5.validation_agent.json,metrics_full_out_3\runs\primary\S05__primary\edits\edit_001\summary.json,True,True,True,True,True,0,0,0,0,0,0,,0,0,1,1,2,2,1.0,,1,1,1.0,,1,1,1.0,,1.0,3,Converged (deterministic + agentic OK).,True,2,2,0.0
S06,"If the Front Door Contact Sensor closes and the time is between 10:00 PM and 6:00 AM, then lock the Front Door Lock.","If the front door is closed and it is between the hours of 10:00 PM and 6:00 AM, then lock the front door.",door_front|lock_front,"becomes(door_front.contact,closed)","command(lock_front,lock)","time_between(22:00,06:00)",True,,S06__primary,metrics_full_out_3\runs\primary\S06__primary,metrics_full_out_3\runs\primary\S06__primary\baseline\final.ir.json,metrics_full_out_3\runs\primary\S06__primary\baseline\final.puml,metrics_full_out_3\runs\primary\S06__primary\baseline\validation_report.json,metrics_full_out_3\runs\primary\S06__primary\baseline\l5.validation_agent.json,True,True,True,True,True,0,0,0,0,0,0,,0,0,1,1,2,2,1.0,,1,1,1.0,,1,1,1.0,,1.0,True,,S06__primary,metrics_full_out_3\runs\primary\S06__primary,metrics_full_out_3\runs\primary\S06__primary\edits\edit_001,metrics_full_out_3\runs\primary\S06__primary\edits\edit_001\final.ir.json,metrics_full_out_3\runs\primary\S06__primary\edits\edit_001\final.puml,metrics_full_out_3\runs\primary\S06__primary\edits\edit_001\validation_report.json,metrics_full_out_3\runs\primary\S06__primary\edits\edit_001\l5.validation_agent.json,metrics_full_out_3\runs\primary\S06__primary\edits\edit_001\summary.json,True,True,True,True,True,0,0,0,0,0,0,,0,0,1,1,2,2,1.0,,1,1,1.0,,1,1,1.0,,1.0,1,Converged (deterministic + agentic OK).,False,0,0,0.0
S07,"If the Front Door Lock becomes unlocked and it is after sunset, then turn on the Hallway Light.","If the front door is unlocked after sunset, then turn on the porch lights.",lock_front|light_hall,"becomes(lock_front.lock,unlocked)","command(light_hall,on)",time_after_sunset,True,,S07__primary,metrics_full_out_3\runs\primary\S07__primary,metrics_full_out_3\runs\primary\S07__primary\baseline\final.ir.json,metrics_full_out_3\runs\primary\S07__primary\baseline\final.puml,metrics_full_out_3\runs\primary\S07__primary\baseline\validation_report.json,metrics_full_out_3\runs\primary\S07__primary\baseline\l5.validation_agent.json,True,True,True,True,True,0,0,0,0,0,0,,0,0,1,1,2,2,1.0,,1,1,1.0,,1,1,1.0,,1.0,True,,S07__primary,metrics_full_out_3\runs\primary\S07__primary,metrics_full_out_3\runs\primary\S07__primary\edits\edit_001,metrics_full_out_3\runs\primary\S07__primary\edits\edit_001\final.ir.json,metrics_full_out_3\runs\primary\S07__primary\edits\edit_001\final.puml,metrics_full_out_3\runs\primary\S07__primary\edits\edit_001\validation_report.json,metrics_full_out_3\runs\primary\S07__primary\edits\edit_001\l5.validation_agent.json,metrics_full_out_3\runs\primary\S07__primary\edits\edit_001\summary.json,True,True,True,True,True,0,0,0,0,0,0,,0,0,1,1,2,2,1.0,,1,1,1.0,,1,1,1.0,,1.0,1,Converged (deterministic + agentic OK).,False,0,0,0.0
S08,"If the sun sets while the Front Door Contact Sensor is closed and the Front Door Lock is locked, then turn on the Hallway Light.","If the front door is closed and locked and the sun sets, then turn on the porch light.",door_front|lock_front|light_hall,schedule(sunset),"command(light_hall,on)","eq(door_front.contact,closed)|eq(lock_front.lock,locked)",True,,S08__primary,metrics_full_out_3\runs\primary\S08__primary,metrics_full_out_3\runs\primary\S08__primary\baseline\final.ir.json,metrics_full_out_3\runs\primary\S08__primary\baseline\final.puml,metrics_full_out_3\runs\primary\S08__primary\baseline\validation_report.json,metrics_full_out_3\runs\primary\S08__primary\baseline\l5.validation_agent.json,True,True,True,True,True,0,0,0,1,0,1,S420,1,0,2,1,3,3,1.0,,1,0,0.0,schedule(sunset),1,1,1.0,,0.8,True,,S08__primary,metrics_full_out_3\runs\primary\S08__primary,metrics_full_out_3\runs\primary\S08__primary\edits\edit_001,metrics_full_out_3\runs\primary\S08__primary\edits\edit_001\final.ir.json,metrics_full_out_3\runs\primary\S08__primary\edits\edit_001\final.puml,metrics_full_out_3\runs\primary\S08__primary\edits\edit_001\validation_report.json,metrics_full_out_3\runs\primary\S08__primary\edits\edit_001\l5.validation_agent.json,metrics_full_out_3\runs\primary\S08__primary\edits\edit_001\summary.json,True,True,True,True,True,0,0,0,1,0,1,S420,1,0,2,1,3,3,1.0,,1,0,0.0,schedule(sunset),1,1,1.0,,0.8,1,Converged (deterministic + agentic OK).,False,0,0,0.0
S09,"If the Front Door Lock is unlocked and motion is detected by the Hallway Motion Sensor, then turn on the Hallway Light.","If the front door is unlocked and motion is active on the front porch motion sensor, then turn on the entryway light.",lock_front|motion_hall|light_hall,"becomes(motion_hall.motion,active)","command(light_hall,on)","eq(lock_front.lock,unlocked)",True,,S09__primary,metrics_full_out_3\runs\primary\S09__primary,metrics_full_out_3\runs\primary\S09__primary\baseline\final.ir.json,metrics_full_out_3\runs\primary\S09__primary\baseline\final.puml,metrics_full_out_3\runs\primary\S09__primary\baseline\validation_report.json,metrics_full_out_3\runs\primary\S09__primary\baseline\l5.validation_agent.json,True,True,True,True,True,0,0,0,0,0,0,,0,0,1,1,3,3,1.0,,1,1,1.0,,1,1,1.0,,1.0,True,,S09__primary,metrics_full_out_3\runs\primary\S09__primary,metrics_full_out_3\runs\primary\S09__primary\edits\edit_001,metrics_full_out_3\runs\primary\S09__primary\edits\edit_001\final.ir.json,metrics_full_out_3\runs\primary\S09__primary\edits\edit_001\final.puml,metrics_full_out_3\runs\primary\S09__primary\edits\edit_001\validation_report.json,metrics_full_out_3\runs\primary\S09__primary\edits\edit_001\l5.validation_agent.json,metrics_full_out_3\runs\primary\S09__primary\edits\edit_001\summary.json,True,True,True,True,True,0,0,0,0,0,0,,0,0,1,1,3,3,1.0,,1,1,1.0,,1,1,1.0,,1.0,1,Converged (deterministic + agentic OK).,False,0,0,0.0
S10,"If motion is detected by the Hallway Motion Sensor and the Front Door Lock is unlocked, then turn on the Hallway Light for 5 minutes.","If motion is detected by the front door motion sensor and the door lock is unlocked, then turn on the porch light for 5 minutes.",motion_hall|lock_front|light_hall,"becomes(motion_hall.motion,active)","command(light_hall,on)|delay(300)|command(light_hall,off)","eq(lock_front.lock,unlocked)|duration(300s)",True,,S10__primary,metrics_full_out_3\runs\primary\S10__primary,metrics_full_out_3\runs\primary\S10__primary\baseline\final.ir.json,metrics_full_out_3\runs\primary\S10__primary\baseline\final.puml,metrics_full_out_3\runs\primary\S10__primary\baseline\validation_report.json,metrics_full_out_3\runs\primary\S10__primary\baseline\l5.validation_agent.json,True,True,True,True,True,0,0,0,0,0,0,,0,0,2,2,3,3,1.0,,1,1,1.0,,3,2,0.6667,delay(300),0.8571,True,,S10__primary,metrics_full_out_3\runs\primary\S10__primary,metrics_full_out_3\runs\primary\S10__primary\edits\edit_001,metrics_full_out_3\runs\primary\S10__primary\edits\edit_001\final.ir.json,metrics_full_out_3\runs\primary\S10__primary\edits\edit_001\final.puml,metrics_full_out_3\runs\primary\S10__primary\edits\edit_001\validation_report.json,metrics_full_out_3\runs\primary\S10__primary\edits\edit_001\l5.validation_agent.json,metrics_full_out_3\runs\primary\S10__primary\edits\edit_001\summary.json,True,True,True,True,True,0,0,0,0,0,0,,0,0,2,2,3,3,1.0,,1,1,1.0,,3,2,0.6667,delay(300),0.8571,1,Converged (deterministic + agentic OK).,False,0,0,0.0
