scenario_id,source_row_id,nl_prompt,original_prompt,req_devices,req_triggers,req_conditions,req_actions
S01,134,"If the Front Door Contact Sensor opens, then turn on the Hallway Light.","If the front door opens, then turn on the hallway light.",door_front|light_hall,"becomes(door_front.contact,open)",,"command(light_hall,on)"
S02,121,"If the Front Door Contact Sensor opens, then send a notification to the homeowner.","If the front door opens, then send a notification to the homeowner.",door_front,"becomes(door_front.contact,open)",,notify()
S03,88,"If the Front Door Lock becomes unlocked, then send a notification to my phone.","If the front door is unlocked, then send a notification to the homeowner.",lock_front,"becomes(lock_front.lock,unlocked)",,notify()
S04,101,"If the Front Door Lock becomes unlocked, then turn on the Hallway Light.","If the front door is unlocked, then turn on the porch light.",lock_front|light_hall,"becomes(lock_front.lock,unlocked)",,"command(light_hall,on)"
S05,8,"If the Front Door Contact Sensor closes and the time is after 10:00 PM, then lock the Front Door Lock.","If the front door is closed and it is after 10 pm, then lock the front door.",door_front|lock_front,"becomes(door_front.contact,closed)",time_after(22:00),"command(lock_front,lock)"
S06,30,"If the Front Door Contact Sensor closes and the time is between 10:00 PM and 6:00 AM, then lock the Front Door Lock.","If the front door is closed and it is between the hours of 10:00 PM and 6:00 AM, then lock the front door.",door_front|lock_front,"becomes(door_front.contact,closed)","time_between(22:00,06:00)","command(lock_front,lock)"
S07,97,"If the Front Door Lock becomes unlocked and it is after sunset, then turn on the Hallway Light.","If the front door is unlocked after sunset, then turn on the porch lights.",lock_front|light_hall,"becomes(lock_front.lock,unlocked)",time_after_sunset,"command(light_hall,on)"
S08,6,"If the sun sets while the Front Door Contact Sensor is closed and the Front Door Lock is locked, then turn on the Hallway Light.","If the front door is closed and locked and the sun sets, then turn on the porch light.",door_front|lock_front|light_hall,schedule(sunset),"eq(door_front.contact,closed)|eq(lock_front.lock,locked)","command(light_hall,on)"
S09,11,"If the Front Door Lock is unlocked and motion is detected by the Hallway Motion Sensor, then turn on the Hallway Light.","If the front door is unlocked and motion is active on the front porch motion sensor, then turn on the entryway light.",lock_front|motion_hall|light_hall,"becomes(motion_hall.motion,active)","eq(lock_front.lock,unlocked)","command(light_hall,on)"
S10,43,"If motion is detected by the Hallway Motion Sensor and the Front Door Lock is unlocked, then turn on the Hallway Light for 5 minutes.","If motion is detected by the front door motion sensor and the door lock is unlocked, then turn on the porch light for 5 minutes.",motion_hall|lock_front|light_hall,"becomes(motion_hall.motion,active)","eq(lock_front.lock,unlocked)|duration(300s)","command(light_hall,on)|delay(300)|command(light_hall,off)"
S11,63,"If motion is detected by the Hallway Motion Sensor after sunset, then turn on the Hallway Light for 5 minutes.","If motion is detected by the front door sensor and it is after sunset, then turn on the porch light for 5 minutes.",motion_hall|light_hall,"becomes(motion_hall.motion,active)",time_after_sunset|duration(300s),"command(light_hall,on)|delay(300)|command(light_hall,off)"
S12,131,"If the Front Door Contact Sensor stays open for more than 5 minutes, then turn off the Hallway Light.","If the front door is open for more than 5 minutes, then turn off the hallway light.",door_front|light_hall,"becomes(door_front.contact,open)",duration_gt(300s),"command(light_hall,off)"
S13,17,"If the Front Door Contact Sensor opens and User Presence is not present, then turn on the Hallway Light.","If the front door opens and the presence sensor is not detected, then turn on the hallway lights.",door_front|presence_user|light_hall,"becomes(door_front.contact,open)","eq(presence_user.presence,not present)","command(light_hall,on)"
S14,35,"If the Front Door Contact Sensor opens while Location Mode is set to Away, then send a notification to the homeowner.","If the front door contact sensor is opened and the mode is set to ""away,"" then send a notification to the homeowner's mobile phone.",door_front|location,"becomes(door_front.contact,open)","eq(location.mode,Away)",notify()
S15,45,"If the Front Door Lock becomes unlocked while Location Mode is set to Away, then send a notification to the homeowner.","If the front door is unlocked and the current location mode is ""Away,"" then send a notification to the homeowner's phone.",lock_front|location,"becomes(lock_front.lock,unlocked)","eq(location.mode,Away)",notify()
S16,70,"If the Front Door Contact Sensor opens while Location Mode is Away, then turn on the Main Alarm Siren and send a notification.","If the front door is opened while the alarm is set to away mode, then set off the siren and send a notification to the homeowner's phone.",door_front|location|alarm_main,"becomes(door_front.contact,open)","eq(location.mode,Away)","command(alarm_main,siren)|notify()"
S17,36,"If User Presence becomes not present and Location Mode is set to Away, then turn off the Hallway Light and lock the Front Door Lock.","If everyone leaves the house and the location mode is set to 'Away', then turn off all lights and lock the front door.",presence_user|location|light_hall|lock_front,"becomes(presence_user.presence,not present)","eq(location.mode,Away)","command(light_hall,off)|command(lock_front,lock)"
S18,56,"If the Front Door Lock remains unlocked for more than 5 minutes, then send a notification.","If the front door is unlocked for more than 5 minutes, then send an SMS to the homeowner alerting them of the issue.",lock_front,"becomes(lock_front.lock,unlocked)",duration_gt(300s),notify()
S19,124,"If the Front Door Lock becomes unlocked and the time is 10:00 PM, then turn off the Hallway Light and lock the Front Door Lock.","If the front door is unlocked and it is 10 PM, then turn off all lights and lock the front door.",lock_front|light_hall,"becomes(lock_front.lock,unlocked)",time_at(22:00),"command(light_hall,off)|command(lock_front,lock)"
S20,168,"If the Front Door Lock becomes unlocked after 9:00 PM, then turn on the Hallway Light and send a notification.","If the front door is unlocked after 9pm, then turn on the entryway light and send a notification.",lock_front|light_hall,"becomes(lock_front.lock,unlocked)",time_after(21:00),"command(light_hall,on)|notify()"
